City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,richfield,44.8833,-93.283,27.49,70,75,4.12,US,1722813701
84,susuman,62.7833,148.1667,15.39,43,13,1.22,RU,1722813993
85,ostseebad binz,54.3999,13.6105,17.19,75,66,9.0,DE,1722813994
86,rio de teapa,17.7875,-92.8958,31.08,74,66,1.36,MX,1722813995
87,veraval,20.9,70.3667,27.23,87,100,7.91,IN,1722813997
88,margaret river,-33.95,115.0667,15.83,69,85,6.44,AU,1722813998
89,umuahia,5.5263,7.4896,22.76,92,89,1.98,NG,1722813999
90,anatuya,-28.4606,-62.8347,15.45,61,0,3.04,AR,1722814000
91,beas de segura,38.2524,-2.8888,27.2,27,0,2.1,ES,1722814001
92,puerto deseado,-47.7503,-65.8938,4.66,93,96,7.1,AR,1722814002
93,coahuayana de hidalgo,18.7,-103.6583,30.0,69,95,1.92,MX,1722814003
94,tura,25.5198,90.2201,23.68,98,100,1.99,IN,1722814004
95,grand falls-windsor,48.9332,-55.6649,25.28,81,98,2.05,CA,1722814008
96,beaconsfield,45.4334,-73.8659,25.97,81,75,4.12,CA,1722814009
97,bonthe,7.5264,-12.505,24.91,86,100,2.53,SL,1722814010
98,zaozersk,69.4005,32.4476,7.63,93,58,2.72,RU,1722814011
99,longyearbyen,78.2186,15.6401,8.91,87,20,4.63,SJ,1722814012
100,taoudenni,22.6783,-3.9836,38.76,12,0,5.28,ML,1722814013
101,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.57,GF,1722814015
102,nar'yan-mar,67.6713,53.087,6.18,78,97,6.46,RU,1722814017
103,jamestown,42.097,-79.2353,26.77,48,0,3.09,US,1722814018
104,iowa park,33.9515,-98.6687,36.92,32,0,4.12,US,1722814019
105,berezovyy,51.6667,135.7,15.79,77,100,0.67,RU,1722814020
106,figuig (centre),32.1089,-1.2286,34.34,11,93,3.64,MA,1722814021
107,alesund,62.4723,6.1549,14.63,93,100,1.54,NO,1722814023
108,happy valley-goose bay,53.3168,-60.3315,26.17,38,40,3.09,CA,1722814024
109,lebu,-37.6167,-73.65,9.65,91,100,11.84,CL,1722813727
110,ndjole,-0.1783,10.7649,22.94,78,95,2.49,GA,1722814026
111,banda aceh,5.5577,95.3222,26.88,80,99,5.2,ID,1722814027
112,sabang,5.8933,95.3214,28.81,73,100,7.32,ID,1722814028
113,baiti,13.745,-14.7482,23.59,97,100,2.74,SN,1722814029
114,general villegas,-35.0328,-63.0125,12.31,38,9,4.46,AR,1722814030
115,dudinka,69.4058,86.1778,7.07,64,0,7.18,RU,1722814031
116,college,64.8569,-147.8028,24.14,52,75,2.57,US,1722814033
117,tianchang,37.9981,114.0156,25.11,78,0,0.92,CN,1722814034
118,whitehorse,60.7161,-135.0538,23.94,31,20,0.89,CA,1722814035
119,carnarvon,-24.8667,113.6333,15.53,52,0,4.45,AU,1722814036
120,zahedan,29.4963,60.8629,29.95,15,0,0.0,IR,1722814037
121,chonchi,-42.6128,-73.8092,7.84,98,100,1.78,CL,1722814038
122,bredasdorp,-34.5322,20.0403,8.12,63,43,3.82,ZA,1722814039
123,weno,7.4515,151.8468,30.97,79,75,2.57,FM,1722814040
124,balqash,46.8481,74.995,22.81,46,2,1.4,KZ,1722814042
125,forster,-32.1667,152.5167,12.99,100,99,2.73,AU,1722814043
126,kadoma,34.7333,135.5833,31.77,67,75,1.54,JP,1722814044
127,forest hills,42.9595,-85.4898,30.54,52,20,3.09,US,1722814045
128,concepcion,-36.827,-73.0498,10.89,82,100,10.8,CL,1722813823
129,paita,-5.0892,-81.1144,19.02,78,45,7.7,PE,1722813625
130,zhigalovo,54.8097,105.1578,13.92,85,55,0.9,RU,1722814048
131,port-cartier,50.0334,-66.8654,24.82,47,47,2.91,CA,1722814049
132,port mathurin,-19.6833,63.4167,22.01,74,13,6.28,MU,1722814051
133,nuuk,64.1835,-51.7216,8.34,76,65,3.09,GL,1722813833
134,port saint john's,-31.6229,29.5448,14.5,62,54,7.96,ZA,1722814053
135,tisaiyanvilai,8.3333,77.8833,27.43,66,99,2.04,IN,1722814054
136,cabedelo,-6.9811,-34.8339,23.37,85,28,6.3,BR,1722814055
137,daru,-9.0763,143.2092,24.77,89,100,6.29,PG,1722814056
138,mugia,43.1041,-9.2179,20.09,93,1,3.79,ES,1722814057
139,ust-nera,64.5667,143.2,14.29,61,25,1.44,RU,1722814058
